seed_window_chars	m_bits	target_anchors	n_bytes	k_choices	normalize_whitespace	total_traced	extra_tokens	extra_rate	aligned_tokens	uid_change_aligned	uid_change_rate_aligned	same_uid_tokens	prf_flip_same_uid	prf_flip_rate_same_uid	p_attack_green	p_clean_green_aligned
8	512	64	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	12	0.07228915662650602	0.505	0.5485714285714286
8	512	96	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	12	0.07228915662650602	0.505	0.5485714285714286
8	512	128	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	12	0.07228915662650602	0.505	0.5485714285714286
12	512	64	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	12	0.0736196319018405	0.505	0.5314285714285715
12	512	96	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	12	0.0736196319018405	0.505	0.5314285714285715
12	512	128	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	12	0.0736196319018405	0.505	0.5314285714285715
10	256	64	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	13	0.07784431137724551	0.53	0.5371428571428571
10	256	96	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	13	0.07784431137724551	0.53	0.5371428571428571
10	256	128	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	13	0.07784431137724551	0.53	0.5371428571428571
10	256	64	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	13	0.07975460122699386	0.51	0.48
10	256	96	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	13	0.07975460122699386	0.51	0.48
10	256	128	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	13	0.07975460122699386	0.51	0.48
12	256	64	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	13	0.07975460122699386	0.52	0.5428571428571428
12	256	96	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	13	0.07975460122699386	0.52	0.5428571428571428
12	256	128	4	4|5|6	True	200	25	0.125	175	12	0.06857142857142857	163	13	0.07975460122699386	0.52	0.5428571428571428
8	512	64	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	14	0.08383233532934131	0.545	0.56
8	512	96	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	14	0.08383233532934131	0.545	0.56
8	512	128	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	14	0.08383233532934131	0.545	0.56
12	512	64	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	14	0.08433734939759036	0.555	0.6057142857142858
12	512	96	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	14	0.08433734939759036	0.555	0.6057142857142858
12	512	128	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	14	0.08433734939759036	0.555	0.6057142857142858
18	512	64	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	14	0.08433734939759036	0.645	0.72
18	512	96	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	14	0.08433734939759036	0.645	0.72
18	512	128	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	14	0.08433734939759036	0.645	0.72
10	256	64	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	15	0.09036144578313253	0.535	0.5771428571428572
10	256	96	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	15	0.09036144578313253	0.535	0.5771428571428572
10	256	128	3	4|5|6	True	200	25	0.125	175	9	0.05142857142857143	166	15	0.09036144578313253	0.535	0.5771428571428572
12	512	64	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	16	0.09580838323353294	0.445	0.4685714285714286
12	512	96	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	16	0.09580838323353294	0.445	0.4685714285714286
12	512	128	2	4|5|6	True	200	25	0.125	175	8	0.045714285714285714	167	16	0.09580838323353294	0.445	0.4685714285714286
