sample_id,step,n,entropy_prefix,entropy_full
0,0,1,1.8476472075825072,2.923980951309204
0,0,2,2.2815862892268655,2.923980951309204
0,0,3,2.875524326863737,2.923980951309204
0,0,4,2.901450554204734,2.923980951309204
0,0,5,2.901450554204734,2.923980951309204
0,0,6,2.9014505542047337,2.923980951309204
0,0,7,2.9014505542047337,2.923980951309204
0,1,1,3.7252902290729744e-08,0.885149359703064
0,1,2,0.45713343362862624,0.885149359703064
0,1,3,0.8851493645106298,0.885149359703064
0,1,4,0.8851493645106298,0.885149359703064
0,1,5,0.8851493645106298,0.885149359703064
0,1,6,0.8851493645106298,0.885149359703064
0,1,7,0.8851493645106298,0.885149359703064
0,2,1,-0.0,-0.0
0,2,2,-0.0,-0.0
0,2,3,-0.0,-0.0
0,2,4,-0.0,-0.0
0,2,5,-0.0,-0.0
0,2,6,-0.0,-0.0
0,2,7,-0.0,-0.0
0,3,1,-1.8626451665781918e-08,0.6489149332046509
0,3,2,-1.8626451665781918e-08,0.6489149332046509
0,3,3,0.6489149579656228,0.6489149332046509
0,3,4,0.6489149579656228,0.6489149332046509
0,3,5,0.6489149579656228,0.6489149332046509
0,3,6,0.6489149579656228,0.6489149332046509
0,3,7,0.6489149579656228,0.6489149332046509
0,4,1,-8.26548819130381e-08,2.410529613494873
0,4,2,-8.26548819130381e-08,2.410529613494873
0,4,3,2.087518542973614,2.410529613494873
0,4,4,2.249269685549144,2.410529613494873
0,4,5,2.295980321774928,2.410529613494873
0,4,6,2.397114751001406,2.410529613494873
0,4,7,2.397114751001406,2.410529613494873
0,5,1,1.0244547796016394e-07,2.0282180309295654
0,5,2,1.0244547796016394e-07,2.0282180309295654
0,5,3,1.3725376346185354,2.0282180309295654
0,5,4,1.8118678185972197,2.0282180309295654
0,5,5,1.81186781859722,2.0282180309295654
0,5,6,1.8659008026150377,2.0282180309295654
0,5,7,1.8659008026150374,2.0282180309295654
0,6,1,0.8570600756087575,1.3736271858215332
0,6,2,0.8570600756087575,1.3736271858215332
0,6,3,1.3736271576204984,1.3736271858215332
0,6,4,1.3736271576204984,1.3736271858215332
0,6,5,1.3736271576204984,1.3736271858215332
0,6,6,1.3736271576204984,1.3736271858215332
0,6,7,1.3736271576204984,1.3736271858215332
0,7,1,-6.984919553561572e-08,0.8201277852058411
0,7,2,-6.984919553561572e-08,0.8201277852058411
0,7,3,0.6485026810563341,0.8201277852058411
0,7,4,0.8201277887242677,0.8201277852058411
0,7,5,0.8201277887242677,0.8201277852058411
0,7,6,0.8201277887242677,0.8201277852058411
0,7,7,0.8201277887242677,0.8201277852058411
0,8,1,-2.7939677277495634e-09,2.000798463821411
0,8,2,-2.7939677277495634e-09,2.000798463821411
0,8,3,1.8271870177444192,2.000798463821411
0,8,4,1.9926408116469072,2.000798463821411
0,8,5,1.992640811646907,2.000798463821411
0,8,6,2.0007983532822107,2.000798463821411
0,8,7,2.0007983532822107,2.000798463821411
0,9,1,-1.8626451665781918e-08,1.3329622745513916
0,9,2,-1.8626451665781918e-08,1.3329622745513916
0,9,3,1.2675307093205843,1.3329622745513916
0,9,4,1.3329622737955276,1.3329622745513916
0,9,5,1.3329622737955276,1.3329622745513916
0,9,6,1.3329622737955276,1.3329622745513916
0,9,7,1.3329622737955276,1.3329622745513916
0,10,1,7.729977070545714e-08,0.6317893862724304
0,10,2,7.729977070545714e-08,0.6317893862724304
0,10,3,0.631789349370873,0.6317893862724304
0,10,4,0.631789349370873,0.6317893862724304
0,10,5,0.631789349370873,0.6317893862724304
0,10,6,0.631789349370873,0.6317893862724304
0,10,7,0.631789349370873,0.6317893862724304
0,11,1,0.6571156968810963,0.6571156978607178
0,11,2,0.6571156968810963,0.6571156978607178
0,11,3,0.6571156968810963,0.6571156978607178
0,11,4,0.6571156968810963,0.6571156978607178
0,11,5,0.6571156968810963,0.6571156978607178
0,11,6,0.6571156968810963,0.6571156978607178
0,11,7,0.6571156968810963,0.6571156978607178
0,12,1,8.754431818185072e-08,2.067631244659424
0,12,2,8.754431818185072e-08,2.067631244659424
0,12,3,1.6267266932023572,2.067631244659424
0,12,4,1.948114536330613,2.067631244659424
0,12,5,2.039482688875717,2.067631244659424
0,12,6,2.039482688875717,2.067631244659424
0,12,7,2.039482688875717,2.067631244659424
0,13,1,-2.7008355028574484e-08,1.8248707056045532
0,13,2,-2.7008355028574484e-08,1.8248707056045532
0,13,3,1.3505608371080668,1.8248707056045532
0,13,4,1.6709002518813678,1.8248707056045532
0,13,5,1.824870498751471,1.8248707056045532
0,13,6,1.824870498751471,1.8248707056045532
0,13,7,1.824870498751471,1.8248707056045532
0,14,1,-0.0,-0.0
0,14,2,-0.0,-0.0
0,14,3,-0.0,-0.0
0,14,4,-0.0,-0.0
0,14,5,-0.0,-0.0
0,14,6,-0.0,-0.0
0,14,7,-0.0,-0.0
0,15,1,-0.0,-0.0
0,15,2,-0.0,-0.0
0,15,3,-0.0,-0.0
0,15,4,-0.0,-0.0
0,15,5,-0.0,-0.0
0,15,6,-0.0,-0.0
0,15,7,-0.0,-0.0
0,16,1,0.027401772625601582,2.535654067993164
0,16,2,0.027401772625601582,2.535654067993164
0,16,3,2.1416993896300016,2.535654067993164
0,16,4,2.468257382392347,2.535654067993164
0,16,5,2.5281360101379606,2.535654067993164
0,16,6,2.5356541429009605,2.535654067993164
0,16,7,2.5356541429009605,2.535654067993164
0,17,1,3.7252902290729744e-08,1.1133605241775513
0,17,2,3.7252902290729744e-08,1.1133605241775513
0,17,3,1.0915609068745726,1.1133605241775513
0,17,4,1.1133605485876539,1.1133605241775513
0,17,5,1.1133605485876537,1.1133605241775513
0,17,6,1.1133605485876537,1.1133605241775513
0,17,7,1.1133605485876537,1.1133605241775513
0,18,1,3.1199305762920175e-08,1.3282363414764404
0,18,2,3.1199305762920175e-08,1.3282363414764404
0,18,3,1.125697534803174,1.3282363414764404
0,18,4,1.2481426474001462,1.3282363414764404
0,18,5,1.2748855978064393,1.3282363414764404
0,18,6,1.328236398164662,1.3282363414764404
0,18,7,1.3282363981646619,1.3282363414764404
0,19,1,0.33956241088770245,1.2434306144714355
0,19,2,0.33956241088770245,1.2434306144714355
0,19,3,1.202694105430883,1.2434306144714355
0,19,4,1.2434305407345962,1.2434306144714355
0,19,5,1.2434305407345962,1.2434306144714355
0,19,6,1.2434305407345962,1.2434306144714355
0,19,7,1.2434305407345962,1.2434306144714355
0,20,1,-5.960464655174744e-08,1.3416465520858765
0,20,2,-5.960464655174744e-08,1.3416465520858765
0,20,3,1.3416464795688552,1.3416465520858765
0,20,4,1.3416464795688552,1.3416465520858765
0,20,5,1.3416464795688552,1.3416465520858765
0,20,6,1.3416464795688552,1.3416465520858765
0,20,7,1.3416464795688552,1.3416465520858765
0,21,1,-1.8626451509656805e-09,1.9747613668441772
0,21,2,-1.8626451509656805e-09,1.9747613668441772
0,21,3,1.8464078768333592,1.9747613668441772
0,21,4,1.8753063186895953,1.9747613668441772
0,21,5,1.8919029564932783,1.9747613668441772
0,21,6,1.9351187128001404,1.9747613668441772
0,21,7,1.9351187128001404,1.9747613668441772
0,22,1,-0.0,-0.0
0,22,2,-0.0,-0.0
0,22,3,-0.0,-0.0
0,22,4,-0.0,-0.0
0,22,5,-0.0,-0.0
0,22,6,-0.0,-0.0
0,22,7,-0.0,-0.0
0,23,1,0.6362471055293798,1.1454092264175415
0,23,2,0.715179016550031,1.1454092264175415
0,23,3,1.1454093140136021,1.1454092264175415
0,23,4,1.1454093140136021,1.1454092264175415
0,23,5,1.1454093140136024,1.1454092264175415
0,23,6,1.1454093140136024,1.1454092264175415
0,23,7,1.1454093140136024,1.1454092264175415
0,24,1,8.102506070901604e-08,1.1651657819747925
0,24,2,8.102506070901604e-08,1.1651657819747925
0,24,3,0.9150140976482296,1.1651657819747925
0,24,4,1.1277258560691241,1.1651657819747925
0,24,5,1.1651658840681056,1.1651657819747925
0,24,6,1.1651658840681056,1.1651657819747925
0,24,7,1.1651658840681056,1.1651657819747925
0,25,1,-0.0,-0.0
0,25,2,-0.0,-0.0
0,25,3,-0.0,-0.0
0,25,4,-0.0,-0.0
0,25,5,-0.0,-0.0
0,25,6,-0.0,-0.0
0,25,7,-0.0,-0.0
0,26,1,-2.1420419445573186e-08,2.0897412300109863
0,26,2,-2.1420419445573186e-08,2.0897412300109863
0,26,3,1.8295374895356835,2.0897412300109863
0,26,4,1.9951966060585313,2.0897412300109863
0,26,5,2.035061720161918,2.0897412300109863
0,26,6,2.0826460243070226,2.0897412300109863
0,26,7,2.089741201410804,2.0897412300109863
0,27,1,0.8800073783100273,0.8800073862075806
0,27,2,0.8800073783100273,0.8800073862075806
0,27,3,0.8800073783100273,0.8800073862075806
0,27,4,0.8800073783100273,0.8800073862075806
0,27,5,0.8800073783100273,0.8800073862075806
0,27,6,0.8800073783100273,0.8800073862075806
0,27,7,0.8800073783100273,0.8800073862075806
0,28,1,0.6994858087213922,0.7750037908554077
0,28,2,0.7750037968670358,0.7750037908554077
0,28,3,0.7750037968670358,0.7750037908554077
0,28,4,0.7750037968670358,0.7750037908554077
0,28,5,0.7750037968670358,0.7750037908554077
0,28,6,0.7750037968670358,0.7750037908554077
0,28,7,0.7750037968670358,0.7750037908554077
0,29,1,0.6000687904595308,0.8162007927894592
0,29,2,0.7665220958265746,0.8162007927894592
0,29,3,0.8162007839046878,0.8162007927894592
0,29,4,0.8162007839046879,0.8162007927894592
0,29,5,0.8162007839046879,0.8162007927894592
0,29,6,0.8162007839046879,0.8162007927894592
0,29,7,0.8162007839046879,0.8162007927894592
0,30,1,2.9336660670067728e-08,1.446947455406189
0,30,2,2.9336660670067728e-08,1.446947455406189
0,30,3,1.1319684822184226,1.446947455406189
0,30,4,1.4469474249949499,1.446947455406189
0,30,5,1.4469474249949497,1.446947455406189
0,30,6,1.4469474249949497,1.446947455406189
0,30,7,1.4469474249949497,1.446947455406189
0,31,1,-2.235174204057166e-08,0.7562160491943359
0,31,2,-2.235174204057166e-08,0.7562160491943359
0,31,3,0.7562160734312217,0.7562160491943359
0,31,4,0.7562160734312217,0.7562160491943359
0,31,5,0.7562160734312217,0.7562160491943359
0,31,6,0.7562160734312217,0.7562160491943359
0,31,7,0.7562160734312217,0.7562160491943359
0,32,1,-9.546056845444603e-08,3.164834499359131
0,32,2,-9.546056845444603e-08,3.164834499359131
0,32,3,2.4558029110708177,3.164834499359131
0,32,4,2.8962746758004987,3.164834499359131
