row_idx,attack_ratio,seed_used,attack_style_used,seed_window_chars,n_bytes,clean_tokens,attacked_tokens,traced_tokens,extra_token_count_in_traced,tail_match_rate_over_traced,green_flip_rate_uid_cleanfp_vs_attackfp,aligned_tokens,aligned_rate_over_traced,uid_match_rate_aligned,token_id_match_rate_aligned,char_ops,char_replace,char_delete,char_insert,segment_char_len,actual_char_edit_rate
44,0.0,44,none,18,3,151,151,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
45,0.0,45,none,18,3,153,153,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
46,0.0,46,none,18,3,157,157,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
47,0.0,47,none,18,3,153,153,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
48,0.0,48,none,18,3,155,155,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
49,0.0,49,none,18,3,158,158,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
50,0.0,50,none,18,3,156,156,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
51,0.0,51,none,18,3,153,153,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
52,0.0,52,none,18,3,158,158,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
53,0.0,53,none,18,3,159,159,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
54,0.0,54,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
55,0.0,55,none,18,3,164,164,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
56,0.0,56,none,18,3,150,150,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
57,0.0,57,none,18,3,156,156,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
58,0.0,58,none,18,3,155,155,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
59,0.0,59,none,18,3,152,152,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
60,0.0,60,none,18,3,160,160,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
61,0.0,61,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
62,0.0,62,none,18,3,167,167,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
63,0.0,63,none,18,3,152,152,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
64,0.0,64,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
65,0.0,65,none,18,3,157,157,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
66,0.0,66,none,18,3,158,158,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
67,0.0,67,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
68,0.0,68,none,18,3,161,161,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
69,0.0,69,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
70,0.0,70,none,18,3,151,151,127,0,1.0,0.0,127,1.0,1.0,1.0,0,0,0,0,0,0.0
71,0.0,71,none,18,3,160,160,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
72,0.0,72,none,18,3,151,151,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
73,0.0,73,none,18,3,157,157,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
74,0.0,74,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
75,0.0,75,none,18,3,156,156,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
76,0.0,76,none,18,3,152,152,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
77,0.0,77,none,18,3,156,156,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
78,0.0,78,none,18,3,152,152,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
79,0.0,79,none,18,3,155,155,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
80,0.0,80,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
81,0.0,81,none,18,3,152,152,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
82,0.0,82,none,18,3,153,153,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
83,0.0,83,none,18,3,155,155,128,0,1.0,0.0,128,1.0,1.0,0.9921875,0,0,0,0,0,0.0
84,0.0,84,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
85,0.0,85,none,18,3,164,164,127,0,1.0,0.0,127,1.0,1.0,1.0,0,0,0,0,0,0.0
86,0.0,86,none,18,3,152,152,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
87,0.0,87,none,18,3,156,156,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
88,0.0,88,none,18,3,156,156,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
89,0.0,89,none,18,3,160,160,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
90,0.0,90,none,18,3,156,156,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
91,0.0,91,none,18,3,150,150,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
92,0.0,92,none,18,3,155,155,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
93,0.0,93,none,18,3,164,164,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
94,0.0,94,none,18,3,155,155,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
95,0.0,95,none,18,3,156,156,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
96,0.0,96,none,18,3,154,154,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
97,0.0,97,none,18,3,157,157,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
98,0.0,98,none,18,3,153,153,128,0,1.0,0.0,128,1.0,1.0,1.0,0,0,0,0,0,0.0
